area,single,"married, no kids","not married, no kids","married, with kids","not married, with kids",single parent,other,total,stadsdeel,m2,wd,dist,woz-value per m2
M58b Weespertrekvaart,934.0,4.0,63.0,1.0,1.0,2.0,4.0,1009.0,5,31.610530714584204,343.390471421885,0.03718628772060488,2393.0
M58e Amstelglorie,23.0,6.0,5.0,4.0,5.0,3.0,15.697732997481108,61.69773299748111,5,83.57613884316903,202.22435262487616,0.04255951798704848,3125.301047120419
M58f Overamstel,25.0,1.0,3.0,1.0,2.0,95.27446300715991,15.697732997481108,142.972196004641,5,83.57613884316903,123.7418010035811,0.050218099532338856,3125.301047120419
M58g Amstelkwartier Noord,716.0,25.0,102.0,25.0,20.0,17.0,5.0,910.0,5,55.072994726616706,364.2684361768131,0.03715458280602434,3603.0
M58h De Omval,221.0,59.0,73.0,42.0,22.0,9.0,4.0,430.0,5,96.99541778975741,578.6239455323224,0.03159847874743992,3710.0
M58i Amstelkwartier Zuid,11.0,3.0,3.0,2.0,50.81190476190476,95.27446300715991,1.0,166.08636776906468,5,83.57613884316903,265.7266438810941,0.04086954507894,3125.301047120419
M58j Amstelkwartier West,503.0,7.0,7.0,3.0,50.81190476190476,4.0,2.0,576.8119047619048,5,83.57613884316903,277.85824688966045,0.04079260537903795,3125.301047120419
N60a Van der Pekbuurt,1344.0,146.0,257.0,295.0,108.0,332.0,35.0,2517.0,6,64.04342532467533,451.9773758857528,0.011558440468011324,2464.0
N60b Bloemenbuurt Zuid,608.0,124.0,104.0,154.0,75.0,160.0,14.0,1239.0,6,69.81598272138228,346.0210349294119,0.019189207619457797,2315.0
N60c Bloemenbuurt Noord,589.0,183.0,97.0,156.0,87.0,166.0,6.0,1284.0,6,63.812083333333334,294.19795147543834,0.022076499228200708,2400.0
N61a IJplein e.o.,885.0,125.0,125.0,156.0,39.0,138.0,8.0,1476.0,6,62.37244897959184,590.2956645731515,0.007031598189780006,2548.0
N61b Vogelbuurt Zuid,1059.0,196.0,235.0,264.0,98.0,299.0,32.0,2183.0,6,71.35200364298726,473.9975400289536,0.010771031550418548,2196.0
N61c Vogelbuurt Noord,344.0,53.0,79.0,68.0,35.0,100.0,10.0,689.0,6,60.47027901334412,387.4871559033862,0.017088855493346825,2473.0
N61d Vliegenbos,29.0,3.0,4.0,9.0,8.0,1.0,15.697732997481108,69.69773299748111,6,83.57613884316903,392.09046924491946,0.013579994343614654,3125.301047120419
N62a Tuindorp Nieuwendam West,231.0,147.0,37.0,57.0,28.0,60.0,3.0,563.0,6,69.27836670592855,370.762411424715,0.017673402027907667,2547.0
N62b Tuindorp Nieuwendam Oost,650.0,186.0,82.0,168.0,82.0,157.0,4.0,1329.0,6,56.722653721682846,321.1106333881203,0.015175485373215204,3090.0
N63a Blauwe Zand,409.0,172.0,65.0,118.0,49.0,144.0,3.0,960.0,6,62.5822550831793,382.83788137714834,0.017720375971256853,2705.0
N64a Buiksloterdijk West,15.0,16.0,6.0,13.0,8.0,3.0,1.0,62.0,6,133.84011976047904,203.1089571246639,0.02461475571705452,3340.0
N64b Buiksloterdijk Oost,11.0,13.0,6.0,11.0,7.0,3.0,15.697732997481108,66.69773299748111,6,143.23950188242108,203.1089571246639,0.02461475571705452,3453.0
N64c Nieuwendammerdijk West,124.0,74.0,26.0,103.0,74.0,18.0,2.0,421.0,6,116.69918444165621,386.3638689031359,0.016964929223328415,3188.0
N64d Nieuwendammerdijk Oost,36.0,24.0,9.0,32.0,22.0,9.0,15.697732997481108,147.6977329974811,6,117.57514638906962,386.7792448106584,0.013582316100724866,3074.0
N64e Nieuwendammerdijk Zuid,1.0,1.0,117.13073394495413,120.07476635514018,1.0,95.27446300715991,15.697732997481108,351.1776963047354,6,83.57613884316903,382.8035669580172,0.012795695501227054,3125.301047120419
N65a Tuindorp Oostzaan West,273.0,110.0,29.0,72.0,34.0,57.0,5.0,580.0,6,77.1153488372093,90.48753687235362,0.040824372311803706,2150.0
N65b Tuindorp Oostzaan Oost,854.0,366.0,116.0,314.0,159.0,252.0,13.0,2074.0,6,63.270125906142695,122.8374350992152,0.03678136058144905,2621.0
N65c Terrasdorp,1104.0,290.0,163.0,254.0,92.0,219.0,12.0,2134.0,6,69.94432169686257,196.2314168780137,0.032948752325582635,2263.0
N65d De Bongerd,95.0,43.0,42.0,224.0,104.0,81.0,4.0,593.0,6,114.24759916492692,192.505845152442,0.03230193524388801,2395.0
N66b Oostzanerdijk,41.0,31.0,20.0,35.0,17.0,10.0,1.0,155.0,6,100.30260741828866,76.30125393214398,0.0415364895491031,2723.0
N66c Walvisbuurt,175.0,107.0,36.0,162.0,50.0,65.0,2.0,597.0,6,104.65545144804089,56.903538657465354,0.04549261464688554,2348.0
N66d Twiske West,251.0,207.0,57.0,272.0,97.0,113.0,5.0,1002.0,6,100.0718875502008,56.60832036224706,0.04532031170262073,2490.0
N66e Noorder IJplas,18.0,17.0,12.0,7.0,6.0,4.0,1.0,65.0,6,83.57613884316903,51.25842213538549,0.04667747489220744,3125.301047120419
N66f Molenwijk,710.0,192.0,68.0,210.0,62.0,233.0,11.0,1486.0,6,80.96987951807229,73.5320231629132,0.04295136983333542,1660.0
